,Country,Stringency,ExcessMortality,Treated
59,Brunei,46.18392523364484,166.9716225481177,0
60,Serbia,46.201214953271005,27482.32705066131,0
61,Denmark,46.55796296296296,-119.9080085585419,0
62,Haiti,46.57018518518521,6743.290497110995,0
63,Hungary,46.67663551401863,15962.85624018993,0
64,Czech Republic,46.86373831775696,18594.377423581493,0
65,Congo,47.018365384615336,9948.797417671,0
66,Uzbekistan,47.43794392523364,5192.92451605039,0
67,Bermuda,47.54481132075474,6442.312363523309,0
68,El Salvador,47.629065420560735,13513.858875192684,0
69,Russia,47.802429906542095,29154.155597492718,0
70,Liberia,47.984392523364505,-2259.753671798016,0
71,Uruguay,48.105833333333344,370.17388324513246,0
72,Malta,48.200092592592725,4107.169471026386,0
73,Sweden,48.2416666666666,7654.326083222428,0
74,Slovak Republic,48.705185185185215,18523.75706330072,0
75,Singapore,48.80907407407403,-198.5299072336091,0
76,Papua New Guinea,48.82898148148147,-624.6710055250131,0
77,Botswana,48.93268518518524,9504.684780996971,0
78,South Sudan,49.28111111111107,11624.868566989977,0
79,Ethiopia,49.495555555555626,8059.595980708986,0
80,Tunisia,49.49831775700937,7703.590836636705,0
81,Cambodia,49.71198113207542,3769.675972054984,0
82,Thailand,49.81594339622642,1752.737660885149,0
83,Bolivia,49.84403846153845,22725.650346457,0
84,Monaco,49.95759259259256,19244.14835085315,0
85,South Korea,49.98672897196263,-318.6318751790152,0
86,Moldova,50.13514018691588,16535.05989045767,0
87,Poland,50.36785046728974,18281.872728494294,0
88,Slovenia,50.46777777777775,12050.66143246043,0
89,Turkmenistan,50.56676470588234,2932.2276044599903,0
90,Bahrain,50.60435185185187,10138.895377330966,0
91,Egypt,50.82336448598142,13842.797790465293,0
92,Nigeria,51.12688679245283,4121.75962504599,0
93,Seychelles,51.14879629629628,-9976.005941262105,0
94,Mozambique,51.32462962962954,5357.070938897976,0
95,Albania,51.35546296296301,23202.61797208766,0
96,Belgium,51.6724074074074,12436.976921642668,0
97,United Arab Emirates,51.76467289719629,9791.235129081004,0
98,Mexico,52.157547169811245,26282.470926774902,0
99,South Africa,52.489433962264144,16825.287900310344,0
100,Lesotho,52.51037383177562,1155.5533683259805,0
101,Romania,52.59616822429905,22531.26133068611,0
102,Kyrgyz Republic,53.50235849056604,9721.273506152937,0
103,Pakistan,53.55819047619045,15840.412611855963,0
104,Netherlands,53.78999999999998,9236.97403781669,0
105,Jordan,53.824859813084096,10304.297613199964,0
106,Barbados,54.19346153846156,-2358.657295793097,0
107,Ukraine,54.587407407407454,13399.796142146186,0
108,Cyprus,54.84019801980205,1936.4780863478088,0
109,Costa Rica,54.96038095238095,4204.328164285073,0
110,Paraguay,55.02427184466014,10422.732531038451,0
111,Guinea,55.06250000000001,5489.638077244986,0
112,Spain,55.40887850467287,16259.408299619425,0
113,Cape Verde,55.50841121495334,10245.26492587498,0
114,Saudi Arabia,55.82029126213588,27671.693193234914,0
115,Israel,56.17305555555544,3964.68089610353,0
116,Austria,56.19416666666666,8036.288901986039,0
117,Portugal,56.24364485981304,13423.807446202683,1
118,Georgia,56.86638888888898,14014.637906579985,1
119,Kenya,56.8729126213592,6311.812658290978,1
120,Ireland,57.18616822429903,2640.1473570421317,1
121,Turkey,57.42906542056074,17219.436807369933,1
122,Guatemala,57.77250000000004,9356.404780592393,1
123,Angola,57.86157407407405,4027.033356870983,1
124,Eswatini,58.15149532710283,15474.99666089994,1
125,Australia,58.18196261682243,-3090.255654204641,1
126,Mongolia,58.330185185185215,-2363.601984827196,1
127,France,58.39009345794391,7964.288854947471,1
128,Algeria,58.79504672897191,4769.982657404989,1
129,Sri Lanka,59.06934579439252,2854.410774893984,1
130,Bahamas,59.3759813084113,8663.190557160973,1
131,Kuwait,59.52990740740744,13864.415971998618,1
132,Qatar,59.97766355140189,1670.200349985912,1
133,Iran,60.02149532710284,14712.236133570696,1
134,Hong Kong,60.0473584905661,1011.4870579352146,1
135,Germany,60.06383177570095,4423.089780488776,1
136,Rwanda,60.06707547169819,6998.549945624975,1
137,Guyana,60.08594339622634,4707.601706737957,1
138,Fiji,60.11386792452832,1032.728891830978,1
139,Oman,60.131415094339694,3634.529605291629,1
140,Ecuador,60.69175925925927,25066.01566546053,1
141,Belize,60.79168224299065,7164.194363571822,1
142,Zimbabwe,61.00603773584908,10135.825587957965,1
143,Indonesia,61.046132075471725,11296.414187351964,1
144,Dominican Republic,61.17594339622635,2904.203960397262,1
145,Malaysia,61.407169811320806,-2328.0073569267656,1
146,Nepal,61.44574074074077,13654.760973426995,1
147,Gabon,61.47764150943397,5986.692803944985,1
148,Colombia,61.4893518518519,14642.210444855333,1
149,Bhutan,61.49551401869161,2024.2209202459865,1
150,Lebanon,61.81867924528294,8632.180100729309,1
151,Uganda,62.19424528301884,3791.27502456498,1
152,Cuba,62.82878504672896,4778.6072642345625,1
153,Vietnam,62.92320754716985,3531.745394491981,1
154,Chile,63.59009345794394,10052.233656639546,1
155,Azerbaijan,63.867169811320686,16597.864998616948,1
156,Trinidad and Tobago,64.0378095238095,5516.08372639798,1
157,Greece,64.5826851851852,7367.03529263479,1
158,Kazakhstan,64.58551401869161,17364.41879076691,1
159,Morocco,64.81462264150946,9115.05849827297,1
160,Suriname,65.35121495327101,6595.025054197963,1
161,Panama,65.44838095238097,8661.140967832383,1
162,India,65.89027777777774,13734.124857067984,1
163,Palestine,65.9314953271028,5804.710982762182,1
164,Libya,66.35495049504956,15865.619482698974,1
165,Eritrea,66.76907407407408,604.0658768199864,1
166,Philippines,66.85219047619053,4284.836419557601,1
167,Jamaica,66.902641509434,3035.219101756644,1
168,Iraq,67.04833333333345,26083.193661727924,1
169,Italy,67.07785046728974,18444.732025038025,1
170,Bangladesh,67.1156603773585,14981.692729863962,1
171,Myanmar,67.35084112149534,7343.971004313976,1
172,Argentina,68.96820754716988,13817.367760783976,1
173,Peru,69.22873786407771,37323.01114645206,1
174,Venezuela,71.6454716981132,8628.576492983972,1
175,Honduras,72.99233644859811,21923.682714989955,1
